"No.","Time","Source","Destination","Protocol","Length","Info"
"798","1.889068","10.0.0.159","142.250.82.213","STUN","162","Binding Request user: Ns1pmoW1ddaczgoKAAiKYigCIAEQ:V/VK"
"811","1.917924","142.250.82.213","10.0.0.159","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 69.248.132.39:63450"
"1106","2.694590","10.0.0.159","18.164.124.4","TCP","66","55766  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1117","2.721111","18.164.124.4","10.0.0.159","TCP","66","443  >  55766 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"1118","2.721184","10.0.0.159","18.164.124.4","TCP","54","55766  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"1124","2.735825","10.0.0.159","18.164.124.4","TLSv1.2","302","Client Hello (SNI=beam.scs.splunk.com)"
"1140","2.760901","18.164.124.4","10.0.0.159","TCP","60","443  >  55766 [ACK] Seq=1 Ack=249 Win=67072 Len=0"
"1141","2.762292","18.164.124.4","10.0.0.159","TLSv1.2","1494","Server Hello"
"1142","2.762894","18.164.124.4","10.0.0.159","TCP","1494","443  >  55766 [PSH, ACK] Seq=1441 Ack=249 Win=67072 Len=1440 [TCP segment of a reassembled PDU]"
"1143","2.762941","10.0.0.159","18.164.124.4","TCP","54","55766  >  443 [ACK] Seq=249 Ack=2881 Win=66048 Len=0"
"1145","2.763863","18.164.124.4","10.0.0.159","TCP","1494","443  >  55766 [ACK] Seq=2881 Ack=249 Win=67072 Len=1440 [TCP segment of a reassembled PDU]"
"1146","2.764442","18.164.124.4","10.0.0.159","TLSv1.2","1151","Certificate, Server Key Exchange, Server Hello Done"
"1147","2.764471","10.0.0.159","18.164.124.4","TCP","54","55766  >  443 [ACK] Seq=249 Ack=5418 Win=66048 Len=0"
"1148","2.765389","10.0.0.159","18.164.124.4","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1158","2.790157","18.164.124.4","10.0.0.159","TCP","60","443  >  55766 [ACK] Seq=5418 Ack=375 Win=67072 Len=0"
"1159","2.790157","18.164.124.4","10.0.0.159","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"1160","2.790728","10.0.0.159","18.164.124.4","TLSv1.2","344","Application Data"
"1179","2.822392","18.164.124.4","10.0.0.159","TLSv1.2","746","Application Data"
"1180","2.824154","10.0.0.159","18.164.124.4","TCP","54","55766  >  443 [FIN, ACK] Seq=665 Ack=6161 Win=65280 Len=0"
"1193","2.865218","18.164.124.4","10.0.0.159","TCP","60","443  >  55766 [FIN, ACK] Seq=6161 Ack=666 Win=68096 Len=0"
"1194","2.865305","10.0.0.159","18.164.124.4","TCP","54","55766  >  443 [ACK] Seq=666 Ack=6162 Win=65280 Len=0"
"1475","3.504553","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"1476","3.508194","10.0.0.159","10.0.0.1","TCP","66","55780  >  49152 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1478","3.511893","10.0.0.1","10.0.0.159","TCP","66","49152  >  55780 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"1479","3.511979","10.0.0.159","10.0.0.1","TCP","54","55780  >  49152 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"1480","3.512100","10.0.0.159","10.0.0.1","HTTP","260","GET /IGDdevicedesc_brlan0.xml HTTP/1.1 "
"1482","3.513876","10.0.0.1","10.0.0.159","UDP","477","36607  >  65355 Len=435"
"1483","3.514749","10.0.0.1","10.0.0.159","TCP","60","49152  >  55780 [ACK] Seq=1 Ack=207 Win=64128 Len=0"
"1484","3.514941","10.0.0.1","10.0.0.159","TCP","326","49152  >  55780 [PSH, ACK] Seq=1 Ack=207 Win=64128 Len=272 [TCP segment of a reassembled PDU]"
"1485","3.516037","10.0.0.1","10.0.0.159","TCP","1514","49152  >  55780 [ACK] Seq=273 Ack=207 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"1486","3.516037","10.0.0.1","10.0.0.159","TCP","1514","49152  >  55780 [PSH, ACK] Seq=1733 Ack=207 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"1487","3.516037","10.0.0.1","10.0.0.159","HTTP/XML","105","HTTP/1.1 200 OK "
"1488","3.516139","10.0.0.159","10.0.0.1","TCP","54","55780  >  49152 [ACK] Seq=207 Ack=3245 Win=65536 Len=0"
"1489","3.526009","10.0.0.159","10.0.0.1","TCP","54","55780  >  49152 [FIN, ACK] Seq=207 Ack=3245 Win=65536 Len=0"
"1495","3.531412","10.0.0.1","10.0.0.159","TCP","60","49152  >  55780 [ACK] Seq=3245 Ack=208 Win=64128 Len=0"
"1499","3.547215","10.0.0.159","10.0.0.89","TCP","66","55789  >  9080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1541","3.615518","10.0.0.89","10.0.0.159","TCP","66","9080  >  55789 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=64"
"1542","3.615662","10.0.0.159","10.0.0.89","TCP","54","55789  >  9080 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"1543","3.616021","10.0.0.159","10.0.0.89","HTTP","236","GET / HTTP/1.1 "
"1545","3.628137","10.0.0.89","10.0.0.159","TCP","60","9080  >  55789 [ACK] Seq=1 Ack=183 Win=87616 Len=0"
"1546","3.628137","10.0.0.89","10.0.0.159","TCP","198","9080  >  55789 [PSH, ACK] Seq=1 Ack=183 Win=87616 Len=144 [TCP segment of a reassembled PDU]"
"1547","3.628137","10.0.0.89","10.0.0.159","HTTP","63","HTTP/1.1 200 OK "
"1548","3.628313","10.0.0.159","10.0.0.89","TCP","54","55789  >  9080 [ACK] Seq=183 Ack=155 Win=65536 Len=0"
"1549","3.630044","10.0.0.159","10.0.0.89","TCP","54","55789  >  9080 [FIN, ACK] Seq=183 Ack=155 Win=65536 Len=0"
"1551","3.634049","10.0.0.89","10.0.0.159","TCP","60","9080  >  55789 [ACK] Seq=155 Ack=184 Win=87616 Len=0"
"1620","3.781534","10.0.0.89","10.0.0.159","UDP","753","45851  >  65355 Len=711"
"2666","6.505173","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"2689","6.531262","10.0.0.1","10.0.0.159","UDP","477","48826  >  65355 Len=435"
"2783","6.786225","10.0.0.89","10.0.0.159","UDP","753","42457  >  65355 Len=711"
"3811","9.505326","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"3812","9.511591","10.0.0.1","10.0.0.159","UDP","477","34874  >  65355 Len=435"
"3911","9.806566","10.0.0.89","10.0.0.159","UDP","753","60905  >  65355 Len=711"
"4015","10.122881","10.0.0.159","142.250.82.217","STUN","162","Binding Request user: umaTqEcejf817QoKAAiKYigCIAEQ:bSLo"
"4025","10.157018","142.250.82.217","10.0.0.159","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 69.248.132.39:63497"
"4406","11.261749","10.0.0.159","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4420","11.293814","10.0.0.89","10.0.0.159","SSDP","376","HTTP/1.1 200 OK "
"4596","11.858461","10.0.0.159","34.237.73.95","TLSv1.2","293","Application Data"
"4626","11.887734","34.237.73.95","10.0.0.159","TLSv1.2","318","Application Data"
"4650","11.928886","10.0.0.159","34.237.73.95","TCP","54","51102  >  443 [ACK] Seq=240 Ack=265 Win=513 Len=0"
"4699","12.103785","10.0.0.159","192.229.211.108","TCP","54","50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"4783","12.262912","10.0.0.159","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4818","12.320762","10.0.0.89","10.0.0.159","SSDP","376","HTTP/1.1 200 OK "
"4854","12.405514","10.0.0.159","192.229.211.108","TCP","54","[TCP Retransmission] 50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"4962","12.765150","34.237.73.95","10.0.0.159","TLSv1.2","78","Application Data"
"4963","12.766595","10.0.0.159","34.237.73.95","TLSv1.2","82","Application Data"
